	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	wohlriechend	B-Bewegung-Geruch	9DA5BC2F-E9E4-4035-BCCE-79EE21E58EFD	1
1	Schuhe	O	none	0
2	Für	O	none	0
3	Klasse	O	none	0
4	die	O	none	0
5	das	O	none	0
6	erst	O	none	0
7	nicht	O	none	0
8	Mitleid	O	none	0
9	liches	O	none	0
10	daß	O	none	0
11	sechs	O	none	0
12	die	O	none	0
13	wenn	O	none	0
14	peinlichsten	O	none	0
15	von	O	none	0
16	betrunken	O	none	0
17	elektrischen	O	none	0
18	Schnier	O	none	0
19	,	O	none	0
20	den	O	none	0
21	Unterwegssein	O	none	0
22	noch	O	none	0
23	,	O	none	0
24	nicht	O	none	0
25	als	O	none	0
26	.	O	none	0
27	«	O	none	0
28	Taxi	B-Ort-Container	BD4EBF86-7608-476C-A0BD-F085ED1E7B18	1
29	einen	O	none	0
30	Tatsache	O	none	0
31	,	O	none	0
32	murmelte	B-Bewegung-Schall	4F4207F9-3A9C-4CA1-9DB0-34B2AB344D24	1
33	»	O	none	0
34	noch	O	none	0
35	abgesagt	O	none	0
36	meter	O	none	0
37	.	O	none	0
38	und	O	none	0
39	Mittel	O	none	0
40	Kostert	O	none	0
41	schwitzen	O	none	0
42	hätte	O	none	0
43	vorstand	O	none	0
44	ich	O	none	0
45	hat	O	none	0
46	hatte	O	none	0
47	,	O	none	0
48	Blumen	O	none	0
49	Welt	B-Ort-Container	D1595DBD-6282-4039-9288-C4CB6D894472	1
50	auszuhelfen	O	none	0
51	bar	O	none	0
52	mit	O	none	0
53	;	O	none	0
54	angerufen	B-Bewegung-ALT	3F1827CA-7D98-42DD-880B-3052E0E65297	1
55	Sie	O	none	0
56	Jahre	O	none	0
57	wirksames	O	none	0
58	mein	O	none	0
59	und	O	none	0
60	in	B-Positionierung	98FA7CA1-41AA-4592-9577-675EB5D3389D	1
61	fünfjährigem	O	none	0
62	trank	B-Bewegung-Subjekt	63663928-4BB0-44F9-9129-23F9F787A2F1	1
63	mieses	O	none	0
64	Schicksal	O	none	0
65	mir	O	none	0
66	Mal	O	none	0
67	vom	I-Dimensionierung-Abstand	021E90E0-8E14-4F57-81E8-4F4F013A7D72	12
68	Maß	O	none	0
69	geben	B-Bewegung-ALT	2789B8F1-93EF-4B9D-8E46-50F9F2C37B4B	1
70	,	O	none	0
71	,	O	none	0
72	;	O	none	0
73	mir	O	none	0
74	ich	O	none	0
75	ist	O	none	0
76	:	O	none	0
77	Zimmer	B-Ort-Container	CEE2A5DD-C6FD-4ED6-B426-CC158FF92CB5	1
78	Tausch	O	none	0
79	,	O	none	0
80	fahren	B-Bewegung-Subjekt	7460CB79-84AC-425F-BF27-CE4976C4FAAC	1
81	Straßenbahn	B-Ort-Container	5FEA648C-EEE0-4C35-B8DD-0C3AF3FFAEE2	1
82	gehen	B-Bewegung-Subjekt	E529A184-E7E8-45BA-A35B-840E2B01CC9B	1
83	mit	O	none	0
84	vor	B-Richtung	D01CC1DA-7FF1-4D58-9B7E-652663A14126	1
85	fünfzig	O	none	0
86	:	O	none	0
87	Nummern	O	none	0
88	,	O	none	0
89	,	O	none	0
90	Solange	O	none	0
91	mit	O	none	0
92	.	O	none	0
93	oder	O	none	0
94	Geld	O	none	0
95	Was	O	none	0
96	Schnier	O	none	0
97	Ich	O	none	0
98	Melancholie	O	none	0
99	abgeben	B-Bewegung-ALT	3BD98585-5B14-4DC7-857C-55ED6D644B4E	1
100	auf	B-Bewegung-Subjekt	D16A2E0C-FCC0-4CAF-ABE1-2A89D642B01D	2
101	außerdem	O	none	0
102	bei	O	none	0
103	in	B-Positionierung	39216102-D4E9-4FC2-B520-B1F22B90782A	1
104	Kopfschmerz	O	none	0
105	wußten	O	none	0
106	Monaten	O	none	0
107	und	O	none	0
108	sie	O	none	0
109	ich	O	none	0
110	.	O	none	0
111	zum	B-Richtung	58A147E4-065F-4212-BADE-EA43F2B62339	1
112	Wir	O	none	0
113	\n 	O	none	0
114	merkwürdige	O	none	0
115	,	O	none	0
116	Telegramm	O	none	0
117	gut	O	none	0
118	mich	O	none	0
119	nicht	O	none	0
120	raus	B-Bewegung-ALT	D3575BB1-7D5C-4A32-8D02-99524F461974	2
