Token_ID	Text_Pointer	Token	Tag	Annotation_ID	Multi_Token_Annotation
0	0	Ein	O	none	0
1	4	ansehnlicher	B-Dimensionierung-Groesse	EFD8345A-45F0-4765-A98F-1EDAD01D38D3	1
2	17	Theil	B-Ort-Container	243633A1-F8C3-4FA0-B72E-D9767D3D4E61	1
3	23	der	B-Positionierung	0A26913C-C92B-46D9-8EDE-CA6B57AF17E4	1
4	27	beiden	B-Dimensionierung-Menge	CE3A01D8-3FE1-4025-9FDE-573D9B4AA777	1
5	34	Lausitzen	B-Ort-Container	77D372D7-6326-4EAD-B21D-40BC6C598FF7	1
6	43	,	O	none	0
7	45	namentlich	O	none	0
8	56	die	O	none	0
9	60	früher	O	none	0
10	67	unter	O	none	0
11	72	\n                     	O	none	0
12	94	sächsischer	O	none	0
13	106	Botmäßigkeit	O	none	0
14	119	stehende	O	none	0
15	128	Niederlausitz	B-Ort-Container	C66ECB22-C244-478C-BE11-BD726B69CE61	1
16	141	,	O	none	0
17	143	ist	O	none	0
18	147	mit	O	none	0
19	151	unermeßlichen	B-Dimensionierung-Groesse	795360CE-230A-4724-9D1E-90E8D6DF3DDE	1
20	164	\n                     	O	none	0
21	186	Kieferwaldungen	B-Ort-Container	D80C0972-9021-43CB-9FCD-F5715870EEE4	1
22	202	bedeckt	O	none	0
23	209	,	O	none	0
24	211	welche	O	none	0
25	218	unter	O	none	0
26	224	dem	O	none	0
27	228	Namen	O	none	0
28	234	der	O	none	0
29	238	großen	B-Dimensionierung-Groesse	DFDF0AE3-3695-4BD2-8D5F-526F7F958C91	1
30	245	Haide	B-Ort-Container	21EBF90D-3228-4B2B-B7F5-9DD98825B2D7	1
31	251	bekannt	O	none	0
32	259	sind	O	none	0
33	263	.	O	none	0
34	264	\n                     	O	none	0
35	286	Diese	O	none	0
36	292	ungeheuren	B-Dimensionierung-Groesse	F0AE655A-DD96-45B1-8ADF-278493ABAF0A	1
37	303	Wälder	B-Ort-Container	F3518805-20A3-4D44-B5DB-2AD89E7A279D	1
38	309	,	O	none	0
39	311	auf	B-Positionierung	2405D3B5-6B0C-4791-94E1-4EFB961F04E6	1
40	315	deren	O	none	0
41	321	feinem	O	none	0
42	328	Sandboden	B-Ort-Objekt	CC4EC04B-0686-4311-82A8-C6CB9C25C7AB	1
43	338	nur	O	none	0
44	342	Haidekraut	O	none	0
45	353	und	O	none	0
46	357	dürre	B-Dimensionierung-Groesse	3DF58970-7D57-4F60-A5D0-AF424CFCEA2B	1
47	362	\n                     	O	none	0
48	384	Gräser	O	none	0
